"Stats Area","Postcode","Year","Area Speed","Entity Code","CSEF Severity","Drugs Involved"
"2 Metropolitan",5064,2019,60,"Driver Rider","1: PDO","Y"
"2 Metropolitan",5015,2019,60,"Driver Rider","2: MI","Y"
"3 Country",5211,2019,100,"Animal","2: MI","Y"
"2 Metropolitan",5023,2019,50,"Driver Rider","2: MI","Y"
"2 Metropolitan",5110,2019,90,"Driver Rider","3: SI","Y"
"2 Metropolitan",5112,2019,50,"Driver Rider","1: PDO","Y"
"2 Metropolitan",5069,2019,60,"Driver Rider","2: MI","Y"
"2 Metropolitan",5159,2019,80,"Driver Rider","2: MI","Y"
"3 Country",5291,2019,50,"Driver Rider","3: SI","Y"
"3 Country",5204,2019,80,"Driver Rider","4: Fatal","Y"
"3 Country",5256,2019,100,"Driver Rider","3: SI","Y"
"2 Metropolitan",5110,2019,90,"Driver Rider","3: SI","Y"
"2 Metropolitan",5043,2019,60,"Driver Rider","2: MI","Y"
"3 Country",5606,2019,80,"Driver Rider","2: MI","Y"
"2 Metropolitan",5252,2019,80,"Driver Rider","2: MI","Y"
"2 Metropolitan",5012,2019,50,"Driver Rider","2: MI","Y"
"2 Metropolitan",5171,2019,50,"Driver Rider","3: SI","Y"
"2 Metropolitan",5245,2019,80,"Driver Rider","2: MI","Y"
"2 Metropolitan",5168,2019,80,"Driver Rider","2: MI","Y"
"2 Metropolitan",5012,2019,50,"Driver Rider","2: MI","Y"
"1 City",5000,2019,50,"Driver Rider","2: MI","Y"
"2 Metropolitan",5112,2019,80,"Driver Rider","2: MI","Y"
"2 Metropolitan",5162,2019,70,"Driver Rider","4: Fatal","Y"
"2 Metropolitan",5008,2019,60,"Driver Rider","1: PDO","Y"
"3 Country",5268,2019,110,"Driver Rider","2: MI","Y"
"2 Metropolitan",5070,2019,50,"Driver Rider","2: MI","Y"
"2 Metropolitan",5069,2019,60,"Driver Rider","2: MI","Y"
"2 Metropolitan",5045,2019,50,"Driver Rider","2: MI","Y"
"3 Country",5341,2019,60,"Driver Rider","2: MI","Y"
"2 Metropolitan",5112,2019,60,"Driver Rider","2: MI","Y"
"3 Country",5540,2019,100,"Driver Rider","1: PDO","Y"
"3 Country",5280,2019,100,"Driver Rider","1: PDO","Y"
"3 Country",5719,2019,110,"Driver Rider","3: SI","Y"
